201036;龙精
201037;凤髓
290000;雷霆之刃
290001;雷霆之盔
290002;雷霆之甲
290003;雷霆之链
290004;雷霆之腕
290005;雷霆之带
290006;雷霆之戒
290007;雷霆之靴
240012;雷霆结晶
240013;九霄结晶
180160;神器-铁画银钩
180161;圣灵碎片①
180162;圣灵碎片②
180163;圣灵碎片③
143301;小手镯
180164;圣灵碎片④
143302;道士手镯
180165;圣灵碎片⑤
143303;神魂手镯
180166;圣灵碎片⑥
143304;神魂手镯
180167;圣灵碎片⑦
143305;青龙手镯
180168;圣灵碎片⑧
143306;青龙手镯
143307;巫尊手镯
180170;神器-铁画银钩
143308;巫尊手镯
180171;逍遥碎片①
143309;龙牙手镯
180172;逍遥碎片②
143310;流云手镯
180173;逍遥碎片③
143311;星痕手镯
180174;逍遥碎片④
143312;太虚手镯
180175;逍遥碎片⑤
143313;逐日道镯
180176;逍遥碎片⑥
143314;王者道镯
180177;逍遥碎片⑦
143315;炎龙道镯
180178;逍遥碎片⑧
143316;荣耀道镯
311200;无影·首篇
311201;无影·首篇
143317;虎威道镯
180180;神器-铁画银钩
311202;无影·首篇
311203;无影·首篇
143318;天龙道镯
180181;雷霆碎片①
311204;无影·首篇
311205;无影·首篇
143319;主宰道镯
180182;雷霆碎片②
143320;浩月道镯
180183;雷霆碎片③
516002;强攻
143321;乾坤道镯
180184;雷霆碎片④
516004;强攻
143322;乾坤道镯
180185;雷霆碎片⑤
516006;强攻
516007;强攻
180186;雷霆碎片⑥
516008;强攻
516009;强攻
180187;雷霆碎片⑦
516010;强攻
516011;强攻
180188;雷霆碎片⑧
516012;强攻
516013;强攻
516014;强攻
516015;强攻
180190;神器-铁画银钩
516016;强攻
516017;强攻
180191;天道碎片①
516018;强攻
516019;强攻
180192;天道碎片②
516020;强攻
172001;六角鞋子
180193;天道碎片③
172002;蛇瞳鞋子
180194;天道碎片④
172003;魔力鞋子
180195;天道碎片⑤
1507001;嗜血鬼爪
1507002;嗜血鬼爪
1507003;嗜血鬼爪
172004;魔力鞋子
1507005;嗜血鬼爪
180196;天道碎片⑥
1507007;嗜血鬼爪
1507008;嗜血鬼爪
1507009;嗜血鬼爪
1507010;嗜血鬼爪
1507011;嗜血鬼爪
172005;朱雀鞋子
